oa_code,oa_desc,grade,subject,source_url,scraped_at
TE05OA01,Crear diseños de objetos o sistemas tecnológicos para resolver problemas o aprovechar oportunidades:,5B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/5-basico?priorizacion=0,2025-07-07T16:54:49.841778
TE05OA02,"Planificar la elaboración de objetos tecnológicos, incorporando la secuencia de acciones, materiales, herramientas, técnicas y medidas de seguridad necesarias o alternativas para lograr el resultado deseado, discutiendo las implicancias ambientales y sociales de los recursos utilizados.",5B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/5-basico?priorizacion=0,2025-07-07T16:54:49.841778
TE05OA03,"Elaborar un producto tecnológico para resolver problemas y aprovechar oportunidades, seleccionando y demostrando dominio en el uso de:",5B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/5-basico?priorizacion=0,2025-07-07T16:54:49.841778
TE05OA04,"Probar y evaluar la calidad de los trabajos propios o de otros, de forma individual o en equipos, aplicando criterios de funcionamiento, técnicos, medioambientales, estéticos y de seguridad, y dialogando sobre sus resultados e ideas de mejoramiento.",5B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/5-basico?priorizacion=0,2025-07-07T16:54:49.841778
TE05OA05,"Usar software para organizar y comunicar los resultados de investigaciones e intercambiar ideas con diferentes propósitos, mediante:",5B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/5-basico?priorizacion=0,2025-07-07T16:54:49.841778
TE05OA06,"Usar procesador de textos para crear, editar, dar formato, incorporar elementos de diseño y guardar un documento.",5B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/5-basico?priorizacion=0,2025-07-07T16:54:49.841778
TE05OA07,"Usar internet y comunicación en línea para compartir información de diferente carácter con otras personas, considerando la seguridad de la fuente y las normas de privacidad.",5B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/5-basico?priorizacion=0,2025-07-07T16:54:49.841778
