oa_code,oa_desc,grade,subject,source_url,scraped_at
TE02OA01,"Crear diseños de objetos tecnológicos, representando sus ideas a través de dibujos a mano alzada o modelos concretos, desde ámbitos cercanos y tópicos de otras asignaturas, con orientación del profesor.",2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:08:44.811463
TE02OA02,"Organizar las tareas para elaborar un objeto tecnológico, distinguiendo las acciones, los materiales y las herramientas necesarias para lograr el resultado deseado.",2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:08:44.811463
TE02OA03,"Elaborar un objeto tecnológico según indicaciones del profesor, seleccionando y experimentando con:",2B,TEC,https://www.curriculumnacional.cl/curriculum/1o-6o-basico/tecnologia/2-basico?priorizacion=0,2025-07-07T16:08:44.812805
